file,cluster,true_label
blues_blues,0,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
blues_blues,1,0
blues_blues,0,0
blues_blues,1,0
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,0,1
classical_classical,0,1
classical_classical,0,1
classical_classical,0,1
classical_classical,0,1
classical_classical,0,1
classical_classical,0,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
classical_classical,1,1
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
country_country,1,2
country_country,0,2
country_country,0,2
country_country,0,2
country_country,1,2
country_country,1,2
